title,price,rating,availability
A Light in the Attic,£51.77,3 star,In stock
Tipping the Velvet,£53.74,1 star,In stock
Soumission,£50.10,1 star,In stock
Sharp Objects,£47.82,4 star,In stock
Sapiens: A Brief History of Humankind,£54.23,5 star,In stock
The Requiem Red,£22.65,1 star,In stock
The Dirty Little Secrets of Getting Your Dream Job,£33.34,4 star,In stock
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",£17.93,3 star,In stock
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,£22.60,4 star,In stock
The Black Maria,£52.15,1 star,In stock
"Starving Hearts (Triangular Trade Trilogy, #1)",£13.99,2 star,In stock
Shakespeare's Sonnets,£20.66,4 star,In stock
Set Me Free,£17.46,5 star,In stock
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),£52.29,5 star,In stock
Rip it Up and Start Again,£35.02,5 star,In stock
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",£57.25,3 star,In stock
Olio,£23.88,1 star,In stock
Mesaerion: The Best Science Fiction Stories 1800-1849,£37.59,1 star,In stock
Libertarianism for Beginners,£51.33,2 star,In stock
It's Only the Himalayas,£45.17,2 star,In stock
In Her Wake,£12.84,1 star,In stock
How Music Works,£37.32,2 star,In stock
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",£30.52,3 star,In stock
Chase Me (Paris Nights #2),£25.27,5 star,In stock
Black Dust,£34.53,5 star,In stock
Birdsong: A Story in Pictures,£54.64,3 star,In stock
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,£22.50,3 star,In stock
Aladdin and His Wonderful Lamp,£53.13,3 star,In stock
Worlds Elsewhere: Journeys Around Shakespeare’s Globe,£40.30,5 star,In stock
Wall and Piece,£44.18,4 star,In stock
The Four Agreements: A Practical Guide to Personal Freedom,£17.66,5 star,In stock
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,£31.05,3 star,In stock
The Elephant Tree,£23.82,5 star,In stock
The Bear and the Piano,£36.89,1 star,In stock
Sophie's World,£15.94,5 star,In stock
Penny Maybe,£33.29,3 star,In stock
Maude (1883-1993):She Grew Up with the country,£18.02,2 star,In stock
"In a Dark, Dark Wood",£19.63,1 star,In stock
Behind Closed Doors,£52.22,4 star,In stock
You can't bury them all: Poems,£33.63,2 star,In stock
